,link,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10
50,MUMBDDRWAAR001:Bundle-Ether2:Bundle-Ether711:MUMBKHIRCCR001,16,0,44,51,82,62,4,48,1046,0
51,SHHDSHHDCCR001:Bundle-Ether855:Bundle-Ether1:SNPTSCTRAAR001,73,62,23,104,94,82,195,437,311,0
52,BGLRGGTACCR001:Bundle-Ether857:Bundle-Ether1:HSSNDDGDAAR002,95,91,32,38,64,140,428,108,0,83
53,NGPRSNGNCCR001:Bundle-Ether370:Bundle-Ether370:SLPRATMSCCR002,4,15,8,15,23,7,22,61,44,0
54,MUMBKHIRIAR001:Bundle-Ether20,0,1,1,4,4,0,6,44,1,0
55,MUMBKHIRCSR001:Bundle-Ether2:Bundle-Ether17:NVMBRCPGCCR001,14,95,60,59,123,161,97,497,78,0
56,DHULAYKCCCR001:Bundle-Ether420:Bundle-Ether420:HNJWWDGNCCR001,10,61,81,82,33,109,66,261,152,0
57,MUMBBVLWAAR001:Bundle-Ether1:Bundle-Ether723:NVMBRCPGCCR001,60,258,250,190,260,310,197,356,74,0
58,VRNSCUTSAAR002:Bundle-Ether895:Bundle-Ether896:VRNSVSNHAAR001,21,4,22,102,118,19,73,65,336,0
59,AGBMMHJPCCR002:Bundle-Ether312:Bundle-Ether312:NGPRSNGNCCR001,2,26,15,9,7,49,132,137,317,0
60,MUMBPNTNAAR001:Bundle-Ether1:Bundle-Ether724:NVMBRCPGCCR001,213,362,0,0,62,43,418,166,0,60
61,NDDGNDDGCCR001:Bundle-Ether419:Bundle-Ether419:SLPRATMSCCR001,82,43,60,50,86,12,12,69,252,0
62,BGLRUPKWCCR001:Bundle-Ether851:Bundle-Ether2:MYSRCHMPAAR002,22,72,74,81,62,174,96,249,152,0
63,BGLRGGTACCR001:Bundle-Ether711:Bundle-Ether2:BGLRRINRAAR001,106,76,14,32,180,76,523,0,0,43
64,BBSRCPTCCCR001:Bundle-Ether319:Bundle-Ether319:MOUDRAHDCCR001,66,196,107,65,121,91,87,348,579,0
65,NDDGNDDGCCR002:Bundle-Ether350:Bundle-Ether350:NGPRSNGNCCR001,1,4,17,7,28,36,67,110,315,0
66,ABKPMWPAAAR001:Bundle-Ether1:Bundle-Ether854:RPURNRJNCCR001,143,98,75,80,156,18,54,259,72,0
67,MUMBKHIRIAR001:Bundle-Ether300,14,92,34,119,52,166,62,396,225,0
